"Data Source","World Development Indicators",
"Norway","NOR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19581","29054","29846","38375","44617","47607","48409","47381","45334","43440","47693","50128","50432","46109","44046","43034","43336","34522","36101","37826","40260","40691","42822","46106","47043","50389","59452","",
"Nepal","NPL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17800","28319","95251","105342","123271","124754","126815","129157","126101","127940","129237","130945","132436","123667","124928","126436","128175","130681","124832","108461","89808","72654","56264","46305","38490","32667","25244","",
"Nauru","NRU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","389","506","488","",
"New Zealand","NZL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4666","16760","17310","3942","3668","3758","3788","3646","4097","4800","4923","5264","5757","5807","5350","5307","4906","2740","2716","3289","2307","1934","1517","1403","1349","1337","1348","",
"OECD members","OED","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2524748","2608996","3206578","3162097","3215602","3088919","3109602","2831407","2618141","2640137","2517292","2560550","2621312","2531902","2401513","2176330","2557580","1927171","1959893","1985690","1961424","1936550","2195433","2178957","3268743","4453420","5319357","",
"Oman","OMN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","7","7","7","7","26","78","83","138","138","151","245","316","",
"Other small states","OSS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126470","152419","100668","107785","63121","53378","51840","51743","48853","72906","92889","89995","80787","80923","67405","46113","59204","60847","82213","83033","77408","73311","67138","68187","65122","58067","58509","",
"Pakistan","PAK","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3255975","3099891","1629218","1479266","1055435","1202493","1202703","1202734","1202462","1202015","2001466","2198797","1227433","1124298","1290984","1084694","1044462","2035023","1780935","1740711","1900621","1702700","1638456","1616507","1505525","1561162","1352551","",
"Panama","PAN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1350","914","1007","964","972","867","867","622","1188","1321","1313","1470","1573","1445","1608","1730","1848","16890","16913","16923","17073","17262","17429","17665","17271","17322","17292","",
"Peru","PER","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724","683","640","738","659","610","663","750","433","702","687","683","688","718","766","848","911","995","1075","1108","1146","1144","1122","1162","1303","1488","1590","",
"Philippines","PHL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19860","8972","6722","2477","669","783","691","311","307","170","176","136","114","108","107","96","100","106","104","95","243","125","141","182","222","269","382","",
"Palau","PLW","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","","1","1","1","1","","","",
"Papua New Guinea","PNG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7099","6098","6686","7670","8461","9601","10176","8198","8198","6666","5863","4941","4941","7491","7627","9999","10183","10003","10006","9703","9698","9377","9383","9378","9510","9510","9529","",
"Poland","POL","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550","2719","810","393","600","600","835","898","942","1020","1311","1591","1836","2507","4604","6790","10053","12774","15320","15555","15847","15911","16438","15741","14065","11703","",
"Pre-demographic dividend","PRE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4602253","4276421","4645842","5196562","6064120","5289931","3785179","2991666","2914522","3098781","3233341","2921098","2923857","2596168","2501965","2350967","2209668","2104357","1940231","1863476","1930789","2305607","2423834","2663295","3441467","3974334","4449213","",
"Puerto Rico","PRI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People’s Rep.","PRK","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Portugal","PRT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","867","998","1778","600","248","248","308","319","339","379","433","449","462","418","377","363","333","353","403","389","384","408","483","598","699","853","1129","",
"Paraguay","PRY","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66","66","45","52","60","60","53","47","30","19","21","21","21","28","41","50","59","62","75","89","107","124","133","136","153","172","194","",
"West Bank and Gaza","PSE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","910637","968704","1026771","1084838","1142905","1200972","1249368","1308438","1348288","1384655","1428891","1483394","1532589","1587920","1634952","1685851","1739266","1793901","1836123","1885188","2015855","1895043","1944544","1994493","2051098","2104001","2158274","",
"Pacific island small states","PSS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2009","2009","800","210","","","","","","","","2","3","4","18","5","10","12","11","406","524","495","",
"Post-demographic dividend","PST","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2152345","2221997","3224640","3376934","3337810","3271536","3268626","2911236","2662696","2707660","2554678","2595535","2639652","2548727","2421713","2182983","2560182","1922487","1941575","1958387","1922196","1878184","1876410","1520633","1645640","1890363","2427682","",
"French Polynesia","PYF","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","31","67","46","46","46","46","46","46","13","29","51","80","80","130","133","120","176","",
"Romania","ROU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","651","520","1170","1170","194","269","640","989","1242","1685","1805","1857","2011","1627","2056","1658","1757","1596","1069","1021","1005","1262","1770","2182","2598","2855","",
"Russian Federation","RUS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","246691","237720","128574","80060","26265","17970","14969","9899","1852","1523","1425","1655","3479","4880","4922","3914","3178","3458","235750","314507","228936","",
"Rwanda","RWA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23601","34004","25162","277000","6000","7792","25257","34227","33403","34365","28398","34786","30863","36608","50221","45206","49192","53577","55062","54016","55398","55325","58212","73349","73820","144737","156055","",
"South Asia","SAS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3486713","3379092","2288041","2078511","1572419","1625466","1612369","1576598","1536385","1532217","2323287","2521487","1550780","1432566","1599141","1371649","1357511","2355038","2119005","2263369","2411160","2193338","2127370","2099360","2277358","2285506","1912183","",
"Saudi Arabia","SAU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33261","28660","24025","17965","13169","9852","5833","5531","5562","5309","245268","245290","240835","240552","240701","240772","240742","240572","575","582","599","577","559","561","125","136","",
"Sudan","SDN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1031050","729200","725900","745200","727174","674071","393874","374415","391496","390995","414928","349209","328176","138163","141588","147256","196200","222722","181605","186292","178308","139415","152194","159857","277833","309639","421454","",
"Senegal","SEN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58113","71908","71620","73002","72994","66769","65044","57229","60823","21539","20766","20707","20711","20726","20804","20712","20591","20421","33193","22151","20672","20644","14237","14247","14274","14392","14575","",
"Singapore","SGP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","146","166","115","11","12","112","10","5","5","1","","2","2","1","1","3","1","10","10","7","7","3","3","3","3","","","",
"Solomon Islands","SLB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2000","2000","800","210","","","","","","","","","","","","","","","","3","3","","",
"Sierra Leone","SLE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125830","28036","5866","16279","15874","4675","13532","13011","9866","6570","6546","10501","63494","61194","65437","59965","27365","8795","7826","9051","8363","8092","4204","2817","1372","760","683","",
"El Salvador","SLV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20300","20099","19903","163","156","154","150","109","33","24","59","69","74","246","235","49","39","39","32","30","38","38","45","44","35","48","36","",
"San Marino","SMR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","460000","","480","399","388","626","700","622","337","130","558","589","199","368","357","493","669","901","1842","1815","1937","2099","2309","2425","2729","8081","11559","",
"Serbia","SRB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98997","97995","96739","86351","73608","70707","66370","57083","43751","35332","36508","",
"Sub-Saharan Africa (excluding high income)","SSA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5641625","5008974","5234269","6155625","6490186","5743448","4131880","3279652","3138336","3316430","3413307","3070183","3058339","2836859","2730803","2561600","2412742","2295000","2124149","2089538","2195568","2699553","2835828","3005712","3745950","4471440","5190933","",
"South Sudan","SSD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105023","202581","229587","248152","263016","262548","",
"Sub-Saharan Africa","SSF","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5641625","5008974","5234269","6155625","6490186","5743448","4131880","3279652","3138336","3316430","3413307","3070183","3058339","2836859","2730803","2561600","2412742","2295000","2124149","2089538","2195568","2699553","2835828","3005712","3745950","4471440","5190933","",
"Small states","SST","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","157127","182392","121535","116869","72058","64168","62456","61038","52663","75934","94277","91124","81836","81784","68137","46737","59694","61231","82528","83345","77633","73481","67262","68292","65672","58788","59117","",
"Sao Tome and Principe","STP","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suriname","SUR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","50","39","","","11","","","","","","","","","","1","1","1","1","","","","","1","","",
"Slovak Republic","SVK","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1521","159","2339","1387","746","424","443","457","472","444","414","409","368","248","279","317","401","461","546","662","701","799","820","955","",
"Slovenia","SVN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74100","45000","29156","22314","10014","5135","3465","4382","2816","2411","390","2069","304","251","254","263","268","289","314","142","176","213","257","292","439","",
"Sweden","SWE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109663","124470","131073","162402","200791","199212","191171","186725","178795","159513","157220","146491","142193","112167","73408","74915","79913","75078","77038","81356","82629","86615","92872","114175","142207","169520","230103","",
"Swaziland","SWZ","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42074","49569","55580","48889","643","712","575","592","592","616","690","690","653","686","704","760","752","789","775","759","759","759","505","507","515","696","705","",
"Sint Maarten (Dutch part)","SXM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","3","3","3","3","","",
"Seychelles","SYC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Syrian Arab Republic","SYR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284856","296256","309672","353392","366283","373530","375150","383906","391009","384856","390989","399599","408519","417508","437341","458137","1144572","1955236","1567595","1526575","1501442","1242391","975695","666547","677756","581113","562811","",
"Turks and Caicos Islands","TCA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","4","","",
"Chad","TCD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","70","109","100","100","302","8810","23478","17692","12950","33455","146400","259880","275412","286743","294017","330510","338495","347939","366494","373695","434479","452897","369540","391235","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","453346","429546","396348","424447","407428","446979","450724","490303","505076","628312","594198","551125","510300","449102","456067","464458","484364","472348","463586","485541","492004","488524","487137","547913","545148","519824","534160","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000","31663","1018934","959931","822095","769821","971348","863888","806359","780422","494769","460925","410964","377444","369416","324820","265693","165463","188546","179595","156411","152803","392394","733233","1938485","2965575","3204569","",
"Togo","TGO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3477","3406","3353","3280","12370","10876","12589","12682","11816","12113","12223","12257","12294","12395","11285","9287","6328","1328","9377","8531","14051","19270","23540","20613","21778","21953","12476","",
"Thailand","THA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99821","88164","63625","119232","100817","106565","107962","169154","138332","100133","104965","110711","112614","119053","121139","117053","133117","125643","112932","105297","96675","89253","84479","136499","130238","108261","106426","",
"Tajikistan","TJK","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","300","695","620","1166","2174","3634","4541","15364","15346","3437","3306","1834","1018","929","1133","1799","2679","3131","3323","2248","2048","2026","1969","2719","",
"Turkmenistan","TKM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15400","15400","23323","15580","15787","14625","18464","14188","14005","13693","13511","13253","11963","750","125","79","60","62","59","46","45","35","26","26","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1184285","890960","876057","121618","107044","92021","86679","81880","64419","60460","36797","36095","39873","37463","35395","37043","39910","529935","349749","366982","373417","377358","380308","381596","352324","337316","321423","",
"Timor-Leste","TLS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","3","3","3","1","1","1","1","","","","","","","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5946479","6404635","6287042","4748140","4588233","4482052","4516020","4524592","4554336","4536926","4654526","4729916","4308958","3948359","4066231","4004618","5235152","6149898","5860754","5924201","5926480","5479059","5325221","6400261","6947611","6782923","6751250","",
"Tonga","TON","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","3","","","","",
"South Asia (IDA & IBRD)","TSA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3486713","3379092","2288041","2078511","1572419","1625466","1612369","1576598","1536385","1532217","2323287","2521487","1550780","1432566","1599141","1371649","1357511","2355038","2119005","2263369","2411160","2193338","2127370","2099360","2277358","2285506","1912183","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5641625","5008974","5234269","6155625","6490186","5743448","4131880","3279652","3138336","3316430","3413307","3070183","3058339","2836859","2730803","2561600","2412742","2295000","2124149","2089538","2195568","2699553","2835828","3005712","3745950","4471440","5190933","",
"Trinidad and Tobago","TTO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","33","37","29","22","18","20","83","113","89","",
"Tunisia","TUN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","130","111","99","19","199","176","506","528","454","436","97","102","99","90","87","93","101","94","92","89","4097","1435","730","901","665","636","",
"Turkey","TUR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28000","30462","28477","23267","24927","12841","8166","2446","2528","2815","3103","3472","3301","2490","3033","2399","2633","6956","11103","10350","10032","14465","267063","609938","1587374","2541352","2869379","",
"Tuvalu","TUV","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Tanzania","TZA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265184","288103","292148","564520","883250","829671","498732","570367","543881","622203","680862","646900","689373","649770","602088","548824","485295","435630","321909","118731","109286","131243","101021","102099","88492","211845","281498","",
"Uganda","UGA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145718","162521","196290","286500","286500","229350","264294","188513","204545","218191","236622","199736","217302","230903","250482","257256","272007","228959","162132","127345","135801","139448","197877","220555","385513","477187","940815","",
"Ukraine","UKR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5193","5193","3591","4564","6101","2697","2951","2983","2966","2877","2459","2346","2275","7277","7201","7334","3022","3176","2807","2968","3219","3273","3252","",
"Upper middle income","UMC","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6911745","7144286","7591256","5705280","5317498","5155812","5341278","5385041","5379161","5326236","5112984","5147923","4608132","4183357","4294473","4159279","4703786","5136500","5048666","5154542","5161277","4924769","5250168","6915259","8645736","9585137","9775973","",
"Uruguay","URY","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87","81","90","138","113","132","138","133","163","87","79","90","99","91","97","121","125","140","145","168","189","174","181","203","272","301","274","",
"United States","USA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","464887","513882","579952","623069","631051","623294","607024","563837","533969","521143","508222","515853","485171","452548","420854","379340","843498","281219","279548","275461","264574","264763","262023","263662","267222","273202","272898","",
"Uzbekistan","UZB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8000","8001","2627","2900","3159","1071","1014","38350","39579","44936","44682","44455","43950","1415","1054","821","555","311","214","176","141","125","107","26","",
"St. Vincent and the Grenadines","VCT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1750","1720","1990","2221","2177","1613","1596","301","158","188","132","59","58","58","244","408","720","200907","201161","201313","201547","202022","203644","204340","173600","173754","172017","",
"British Virgin Islands","VGB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","2","","","","","",
"Virgin Islands (U.S.)","VIR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21150","20148","16263","5084","5000","34400","34400","15000","15000","15000","15945","15945","15945","15360","2360","2357","2357","2357","2357","2357","1928","990","","","","","","",
"Vanuatu","VUT","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","3","4","4","","2","2","","","","",
"World","WLD","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19805688","19414923","20023531","18718993","18325596","17418028","16102005","14934398","14552205","14863846","15451236","15643310","14265347","13437842","13530667","12863676","14326136","15953753","15161622","15163210","15516350","15202527","15417874","16729328","19535060","21377887","22523968","",
"Samoa","WSM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kosovo","XKX","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2938","29977","59680","54450","48306","53453","53546","40964","61382","60477","60545","69468","82803","61881","66384","81937","95794","117363","140169","170854","190092","214740","237182","241288","257645","267173","269763","",
"South Africa","ZAF","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250000","91894","101408","22645","6819","8388","14538","15063","18605","23344","26558","27683","29714","35086","36736","43546","47974","57899","57899","65233","65987","112192","121645","90958","",
"Zambia","ZMB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138049","140676","142104","141126","141126","129965","131139","165072","168564","206386","250940","284173","246765","226697","173907","155718","120253","112931","83485","56785","47857","45632","25653","23594","25578","26447","29338","",
"Zimbabwe","ZWE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190950","197627","237713","100482","2199","514","595","806","1655","2071","4127","8706","9432","12721","6884","13850","3519","3981","3468","3995","4435","4561","4356","6389","6079","6950","7418","",
